Player,Position,College,Teams
Long Ding,K,--,NFLE: 2007 Ber
Long Doug,DB,Whitworth,1977-1978 Sea
Long Gabe,DT,Utah,--
Long Greg,OG,Purdue,--
Long Harvey,OT/OG,Detroit Mercy,"1929 Chi, 1930 Fra"
Long Howie,DE,Villanova,"1981 Oak, 1982-1993 LAR"
Long Hunter,TE,Boston College,"2021-2022 Mia, 2023 LA"
Long Jake,OT,Michigan,"2008-2012 Mia, 2013-2014 Stl, 2015 Atl, 2016 Min"
Long Jerome,DL,San Diego State,"2012 Jax, 2013 Dal"
Long Joe,OT,Wayne State (MI),--
Long Johnny,QB/RB,Colgate,1944-1945 Chi
Long Juan,LB,Mississippi State,"NFLE: 1995,1997-1998 Bar"
Long Ken,OG,Purdue,1976 Det
Long Kevin,C,Florida State,1998-2001 Ten
Long Kevin,RB,South Carolina,1977-1981 NYJ
Long Khari,DE,Baylor,2005 KC
Long Kyle,OG,Oregon,"2013-2019 Chi, 2021 KC"
Long Lance,WR,Mississippi State,"2009 Ari, 2009 KC"
Long Louie,OE,Southern Methodist,1931 Port
Long Matt,C,San Diego State,1987 Phi
Long Mel,LB,Toledo,1972-1974 Cle
Long Mike,OE,Brandeis,1960 Bos
Long Rien,DT,Washington State,2003-2005 Ten
Long Scott,WR,Louisville,--
Long Spencer,C,Nebraska,"2014-2017 Was, 2018 NYJ, 2019 Buf"
Long Terry,OG,East Carolina,1984-1991 Pit
Long Tim,C,Memphis,1987 SF
Long Tom,OG,Ohio State,1925 Col
Long Travis,LB,Washington State,--
Long Ty,K,Alabama-Birmingham,2019-2021 LAC
Long Warren,LB,Northwestern,--
Longa Steve,LB,Rutgers,"2016-2017,2019 Det"
Longacre Matt,LB,Northwest Missouri State,"2015 Stl, 2016-2018 LA"
Longenecker Ken,DT,Lebanon Valley,1960 Pit
Longino Antonio,LB,Arizona State,--
Longley Clint,QB,Abilene Christian,"1974-1975 Dal, 1976 SD"
Longmire Sam,DB,Purdue,1967-1968 KC
Longo Samuel,C,Cincinnati,--
Longo Tom,DB,Notre Dame,"1969-1970 NYG, 1971 Stl"
Longstreet Roy,C,Iowa State,1926 Rac
Longua Paul,OE,Villanova,"1929 Ora, 1930 Nwk"
Longwell Ryan,K,California,"1997-2005 GB, 2006-2011 Min, 2012 Sea"
Lonie David,K,California,--
Look Dean,QB,Michigan State,1962 NYT
Lookabaugh Jack,OE,Maryland,1946-1947 Was
Looker Dane,WR,Washington,"2002-2008 Stl, NFLE: 2002 Ber"
Loomis Ace,DB/RB,Wisconsin-LaCrosse,1951-1953 GB
Looney Don,OE,Texas Christian,"1940 Phi, 1941-1942 Pit"
Looney James,DT,California,2018 GB
Looney Jim,LB,Purdue,1981 SF
Looney Joe,C,Wake Forest,"2012-2014 SF, 2015 Ten, 2016-2020 Dal"
Looney Joe Don,RB,Oklahoma,"1964 Bal, 1965-1966 Det, 1966-1967 Was, 1969 NO"
Loos Tyler,OT,Northern Illinois,--
Lopasky Bill,OG,West Virginia,1961 SF
Loper Daniel,OG,Texas Tech,"2005-2008 Ten, 2009 Det, 2010 Oak, 2011 Dal"
Lopez Gerardo,DE,UANL,NFLE: 2007 Ham
Lopez Hugo,DB,Toronto (Canada),--
Lopez Mauricio,DT,ITESM Monterrey,"NFLE: 2005 Ams, 2006-2007 Col"
Lopez Roy,DT,Arizona,2021-2023 Hou
Lopienski Tom,RB,Notre Dame,2003-2004 Ind
Lora Erik,WR,Eastern Illinois,--
Lorch Karl,DE,Southern California,1976-1981 Was
Lord Jack,OG/OT,Rutgers,1929 SI
Lord Jammal,RB,Nebraska,2004 Hou
Lord Junior,WR,Guilford College,NFLE: 2000 Ams
Loredo Cesar,OT,UANL,"NFLE: 2005 Ams, 2006 Col"
Lorello Mike,DB,West Virginia,--
Lorenzen Jared,QB,Kentucky,2005-2007 NYG
Lorenzen Tyler,TE,Connecticut,--
Lorick Tony,RB,Arizona State,"1964-1967 Bal, 1968-1969 NO"
Lorig Erik,RB,Stanford,"2010-2013 TB, 2014 NO"
Losch Jack,RB,Miami,1956 GB
Losman J.P.,QB,Tulane,"2004-2008 Buf, 2009 Oak, 2010 Sea, 2011 Mia"
Lossow Rodney,C,Wisconsin,NFLE: 1991-1992 Orl
Loston Craig,DB,Louisiana State,2014-2015 Jax
Lothamer Ed,DT,Michigan State,"1964-1969,1971-1972 KC"
Lothridge Billy,P,Georgia Tech,"1964 Dal, 1965 LA, 1966-1971 Atl, 1972 Mia"
Lott Andre,DB,Tennessee,"2002-2004 Was, 2006 SD"
Lott Anthone,DB,Florida,1997 Cin
Lott Billy,RB,Mississippi,"1958 NYG, 1960 Oak, 1961-1963 Bos"
Lott Derrick,DE,Tennessee-Chattanooga,--
Lott James,DB,Clemson,NFLE: 1992 Mtl
Lott John,C,North Texas,1987 Pit
Lott John,OT,--,"1929 Ora, 1930 Bkn"
Lott Marcus,DB,Coastal Carolina,--
Lott Ronnie,DB,Southern California,"1981-1990 SF, 1991-1992 LAR, 1993-1994 NYJ"
Lott Thomas,RB,Oklahoma,1979 Stl
Lotulelei John,LB,Nevada-Las Vegas,"2013 Sea, 2013,2015 Jax, 2015 Oak"
Lotulelei Lowell,DT,Utah,--
Lotulelei Star,DT,Utah,"2013-2017 Car, 2018-2019,2021 Buf"
Lotulelei Tau,LB,Nevada-Las Vegas,--
Lou Ron,C,Arizona State,"1973 Hou, 1975 Phi, 1976 Hou"
Louallen Fletcher,DB,West Alabama,1987 Min
Louchiey Corey,OT,South Carolina,1995-1997 Buf
Loucks Alvin,OG,Michigan,1920 Det
Loucks Ed,OE,Washington & Jefferson,1925 Cle
Loud Kamil,WR,Cal Poly-S.L.O.,1998-1999 Buf
Loudd Rommie,LB,UCLA,"1960 LAC, 1961-1962 Bos"
Louderback Tom,LB/C,San Jose State,"1958-1959 Phi, 1960-1961 Oak, 1962 Buf"
Loudermilk Isaiahh,DT,Wisconsin,2021-2023 Pit
Lougheed Pete,OT,Purdue,--
Louie-McGee Jerry,WR,Montana,--
Louis Claudell,DE,Fresno State,--
Louis Cliff,OL,Morgan State,--
Louis Lamar,LB,Louisiana State,"2016 Ari, 2016 Bal"
Louis Lance,OG,San Diego State,"2009-2012 Chi, 2014-2015 Ind"
Louis Mario,WR,Grambling,--
Louis Ricardo,WR,Auburn,2016-2017 Cle
Louis Stephen,WR,North Carolina State,--
Louis-Jean Al,DB,Boston College,2014 Chi
Louisdor Mesene,DB,Central Michigan,NFLE: 2002 Sco
Loukas Angelo,OG,Northwestern,"1969 Buf, 1970 Bos"
Louks Corbin,WR,Nevada,--
Lovato Rick,LS,Old Dominion,"2015 GB, 2016 Was, 2016-2023 Phi"
Love A.J.,WR,South Florida,--
Love Bryce,RB,Stanford,--
Love Clarence,DB,Toledo,"1998 Phi, 2000 Bal, 2002-2003 Oak, NFLE: 1999 Fra"
Love Damian,OL,Alabama State,--
Love DeMarcus,OG,Arkansas,2011 Min
Love Duval,OG,UCLA,"1985-1991 LA, 1992-1994 Pit, 1995-1996 Ari"
Love Glenn,LB,UCLA,--
Love Grayling,OG,Arizona State,--
Love Jamar,DB,Arkansas,2009 Ten
Love John,WR,North Texas,"1967 Was, 1972 LA"
Love Jordan,DB,Towson,--
Love Jordan,QB,Utah State,2020-2023 GB
Love Josh,QB,San Jose State,--
Love Julian,DB,Notre Dame,"2019-2022 NYG, 2023 Sea"
Love Kyle,DT,Mississippi State,"2010-2012 NE, 2013 Jax, 2013 KC, 2014-2019 Car"
Love Marquay,DT,Houston,--
Love Marvin,DB,Kentucky,NFLE: 2000 Bar
Love Mike,DE,South Florida,"2018,2020,2022 Buf"
Love Randy,RB,Houston,1979-1985 Stl
Love Reggie,LB,Duke,--
Love Sean,OG,Penn State,"1993-1994 TB, 1995 Car"
Love Terry,DB,Murray State,1987 Min
Love Walt,WR,Westminster (UT),1973 NYG
Loveall Calvin,DB,Idaho,"1988 Hou, 1988 KC, 1988 Atl"
Lovelady Edwin,WR,Memphis,1987 NYG
Lovelady Josh,OG,Houston,"2002-2003 Det, NFLE: 2002 Sco"
Lovell Kevin,K,Cincinnati,--
Lovelocke Jerry,QB,Prairie View A&M,--
Loven Fritz,OG,--,1929 Minn
Loverne David,OG,San Jose State,"2000-2001 NYJ, 2002 Was, 2003 Stl, 2004 Det"
LoVetere John,DT,Compton CC (CA),"1959-1962 LA, 1963-1965 NYG"
Lovett John,TE,Princeton,"2020 GB, 2023 Mia"
Lovett John,RB,Penn State,--
Loville Derek,RB,Oregon,"1990-1991 Sea, 1994-1996 SF, 1997-1999 Den"
Loving Warren,RB,William Penn,1987 Buf
Lovingood Riley,LS,Tennessee,--
LoVuolo Frank,OE,St. Bonaventure,1949 NYG
Lowber Todd,WR,Ramapo,--
Lowder T.J.,WR,Florida Tech,--
Lowdermilk John,DB,Iowa,--
Lowdermilk Kirk,C,Ohio State,"1985-1992 Min, 1993-1996 Ind"
Lowe Bull,OE/OT,Fordham,"1920 Can, 1921 Cle, 1925 Prov, 1925-1926 Fra, 1927 Prov"
Lowe Daytawion,DB,Oklahoma State,--
Lowe Duron,DB,Liberty,2023 TB
Lowe Gary,DB/RB,Michigan State,"1956-1957 Was, 1957-1964 Det"
Lowe Lloyd,DB/RB,North Texas,1953-1954 Chi
Lowe Omare,DB,Washington,"2002 Mia, 2003 NYJ, 2004 NE, 2005-2006 Atl, 2008 Jax"
Lowe Paul,RB,Oregon State,"1960 LAC, 1961,1963-1968 SD, 1968-1969 KC"
Lowe Reggie,LB,Troy State,"1998 Jax, NFLE: 1999 Rhe"
Lowe Vederian,OT,Illinois,2022-2023 Min
Lowe Walter,RB,Georgetown,1923 RI
Lowe Woodrow,LB,Alabama,1976-1986 SD
Lowery B.J.,DB,Iowa,--
Lowery Bren,RB,Maryland,NFLE: 1991 R-D
Lowery Damien,DL,Northeastern Oklahoma A&M JC (OK),--
Lowery Darby,OG/OE,--,1920-1925 Roc
Lowery Dwight,DB,San Jose State,"2008-2010 NYJ, 2011-2013 Jax, 2014 Atl, 2015 Ind, 2016 SD"
Lowery Hugh,OT,Franklin (IN),1920 Det
Lowery Joe,OL,Ohio,--
Lowery Michael,LB,Mississippi,"1996-1997 Chi, NFLE: 1999 Rhe"
Lowery Nick,K,Dartmouth,"1978 NE, 1980-1993 KC, 1994-1996 NYJ"
Lowes Robbie,LB,Regina,--
Lowry Calvin,DB,Penn State,"2006-2007 Ten, 2008 Den, 2008 Jax"
Lowry Dean,DE,Northwestern,"2016-2022 GB, 2023 Min"
Lowry Orlando,LB,Ohio State,"1985-1989 Ind, 1989 NE"
Lowry Quentin,LB,Youngstown State,"1981-1983 Was, 1983 TB"
Lowther Russ,RB/DB,Detroit Mercy,"1944 Det, 1945 Pit"
Loyd Alex,OE,Oklahoma State,1950 SF
Loyd Jeremy,LB,Iowa State,"2003,2005 Stl"
Loyd Mike,QB,Missouri Southern State,1980 Stl
Lua Oscar,LB,Southern California,--
Luani Shalom,DB,Washington State,"2017 Oak, 2018 Sea, 2019 LAC"
Lubischer Steve,LB,Boston College,1987 Mia
Lubratovich Milo,OT,Wisconsin,1931-1935 Bkn
Luc Jeff,LB,Cincinnati,--
Lucas Abraham,OT,Washington State,2022-2023 Sea
Lucas Albert,DT,Troy State,2000-2001 Car
Lucas Chad,WR,Alabama State,"2005 GB, 2007 TB, NFLE: 2006 Ams"
Lucas Chase,DB,Arizona State,2022-2023 Det
Lucas Cornelius,OT,Kansas State,"2014-2016 Det, 2017 LA, 2018 NO, 2019 Chi, 2020-2023 Was"
Lucas Dick,OE,Boston College,"1958 Pit, 1960-1963 Phi"
Lucas Enoka,C,Oregon,--
Lucas Jeff,OT,West Virginia,1987 Pit
Lucas Jordan,DB,Penn State,"2016-2017 Mia, 2018-2019 KC, 2021 Ind"
Lucas Justin,DB,Abilene Christian,"1999-2003 Ari, 2004 Stl"
Lucas Keevan,WR,Tulsa,--
Lucas Ken,DB,Mississippi,"2001-2004 Sea, 2005-2008 Car, 2009 Sea"
Lucas Marcus,WR,Missouri,--
Lucas Marquis,OG,West Virginia,--
Lucas Maurice,DE,Colorado,--
Lucas Ray,QB,Rutgers,"1996 NE, 1997-2000 NYJ, 2001-2002 Mia, 2003 Bal"
Lucas Richie,QB,Penn State,1960-1961 Buf
Lucas Tim,LB,California,1987-1993 Den
Lucci Mike,LB,Tennessee,"1962-1964 Cle, 1965-1973 Det"
Luce Derrel,LB,Baylor,"1975-1978 Bal, 1979-1980 Min, 1980 Det"
Luce Lew,RB,Penn State,1961 Was
Lucente Johnny,RB/LB,West Virginia,1945 Pit
Luchey Nicolas,RB,Miami,"1999-2002 Cin, 2003-2004 GB, 2005 Cin, 2006 Bal"
Luciano Corey,C,Washington,2023 SF
Lucien Devin,WR,Arizona State,--
Lucien Jeremy,DB,Vanderbilt,2023 Bal
Lucier Wayne,OG,Colorado,2003-2004 NYG
Lucier-South Keisean,DL,UCLA,--
Luck Andrew,QB,Stanford,"2012-2016,2018 Ind"
Luck Oliver,QB,West Virginia,1983-1986 Hou
Luck Terry,QB,Nebraska,1977 Cle
Luckett Cavellis,LB,Middle Tennessee State,--
Luckett Donatella,WR,Harding,--
Luckhurst Mick,K,California,1981-1987 Atl
Luckman Sid,QB/RB,Columbia,1939-1950 Chi
Lucky Bill,DT,Baylor,1955 GB
Lucky Marlon,RB,Nebraska,--
Lucky Mike,TE,Arizona,"1999,2001-2002 Dal"
Lue Andrew,DB,Queens (Canada),--
Lueck Bill,OG,Arizona,"1968-1974 GB, 1975 Phi"
Luellen Tyler,OT,Missouri,--
Luepke Hunter,RB,North Dakota State,2023 Dal
Luft Don,OE,Indiana,1954 Phi
Lugg Josh,OT,Notre Dame,2023 Chi
Luhn Nolan,OE,Tulsa,1945-1949 GB
Luigs Jonathan,C,Arkansas,2009 Cin
Lujack Johnny,QB/DB,Notre Dame,1948-1951 Chi
Lukas Tim,WR,Illinois,--
Luke Anthony,DL,San Diego State,--
Luke Cole,DB,Notre Dame,"2019 Car, 2020 Was"
Luke Junior,DL,Montreal,--
Luke R.J.,TE,Western Illinois,--
Luke Steve,DB,Ohio State,1975-1980 GB
Luke Tommy,DB,Mississippi,1968 Den
Luke Triandos,WR,Alabama,2004 Den
Luken Tom,OG,Purdue,"1972-1975,1977-1978 Phi"
Lukens Jim,OE,Washington & Lee,--
Luketa Jesse,LB,Penn State,2022-2023 Ari
Lukins Tony,DB,New Mexico State,NFLE: 2003-2004 Rhe
Lulay Travis,QB,Montana State,NFLE: 2007 Ber
Lumbala Rolly,RB,Idaho,--
Lumelski Zev,OT,Miami,NFLE: 1996 Ams
Lummus Jack,OE,Baylor,1941 NYG
Lumor Elorm,LB,Towson,--
Lumpkin Joey,LB,Arizona State,1982-1983 Buf
Lumpkin Johnny,TE,Louisiana-Lafayette,2023 NE
Lumpkin Keith,OT,Rutgers,--
Lumpkin Kregg,RB,Georgia,"2008 GB, 2010-2011 TB, 2012 NYG"
Lumpkin Larry,LB,Carson-Newman,--
Lumpkin Ricky,DT,Kentucky,"2012 Ari, 2013-2014 Oak"
Lumpkin Ron,DB,Arizona State,1973 NYG
Lumpkin Roy,RB/BB,Georgia Tech,"1930-1933 Port, 1934 Det, 1935-1937 Bkn"
Lumpkin Sean,DB,Minnesota,1992-1996 NO
Lumsden Jesse,RB,McMaster,--
Luna Bobby,DB,Alabama,"1955 SF, 1959 Pit"
Lunceford Dave,DT/OT,Baylor,1957 ChiC
Lund Bill,RB,Case Western Reserve,--
Lunday Kayo,LB/OG,Arkansas,"1937-1941,1946-1947 NYG"
Lundblade Brad,C,Oklahoma State,2019 Car
Lundell Bob,OE,Gustavus Adolphus,"1929-1930 Minn, 1930 SI"
Lundqvist Patrik,DB,Walsh University,NFLE: 2005 Ham
Lundy Dennis,RB,Northwestern,"1995 Hou, 1995 Chi"
Lundy Lamar,DE/OE,Purdue,1957-1969 LA
Lundy Luke,RB,Ottawa (KS),--
Lundy Wali,RB,Virginia,2006 Hou
Luneberg Chris,OT,West Chester,NFLE: 1995-1997 Lon
Lungren Charlie,RB/BB,Swarthmore,1923 RI
Lunsford John,K,Liberty,--
Lunsford Mel,DT,Central State,1973-1980 NE
Lunt Wes,QB,Illinois,--
Lunz Jerry,OG/OT,Marquette,"1925-1926 ChiC, 1930 Fra"
Luoto Iiro,TE,--,"NFLE: 2005-2006 Fra, 2007 Rhe"
Lupeamanu Tueni,DT,Idaho,--
Luper J.T.,WR,Central Oklahoma,--
Lurry Shawun,DB,Northern Illinois,--
Lurth LaDue,RB,Gustavus Adolphus,1929 Minn
Lurtsema Bob,DE,Western Michigan,"1967-1971 NYG, 1972-1976 Min, 1976-1977 Sea"
Lusby Vaughn,DB,Arkansas,"1979 Cin, 1980 Chi"
Luscinski Jim,OT,Norwich,1982 NYJ
Lush Mike,DB,East Stroudsburg,"1986 Ind, 1986 Min, 1987 Atl"
Lusk Bob,C,William & Mary,1956 Det
Lusk Henry,TE,Utah,"1996 NO, 1998 Mia"
Lusk Herb,RB,Long Beach State,1976-1978 Phi
Lusteg Booth,K,Connecticut,"1966 Buf, 1967 Mia, 1968 Pit, 1969 GB"
Luter Darrell,DB,South Alabama,2023 SF
Luther Ed,QB,San Jose State,1980-1984 SD
Luther T.J.,WR,Gardner-Webb,2023 NYJ
Lutman Gavin,WR,Pittsburg State,--
Luton Jake,QB,Oregon State,2020 Jax
Lutrus Scott,LB,Connecticut,2011-2013 Ind
Lutui Taitusi,OG,Southern California,"2006-2011 Ari, 2012 Ten"
Lutz David,OG,Georgia Tech,"1983-1992 KC, 1993-1995 Det"
Lutz FN,C,Indiana State,--
Lutz Wil,K,Georgia State,"2016-2020,2022-2023 NO"
Lutzenkirchen Philip,TE,Auburn,--
Luvu Frankie,LB,Washington State,"2018-2020 NYJ, 2021-2023 Car"
Luzar Chris,TE,Virginia,2002-2003 Jax
Lyck Kai-Erik,WR,--,NFLE: 2000 Rhe
Lyday Allen,DB,Nebraska,1984-1987 Hou
Lyerla Colt,TE,Oregon,--
Lyght Todd,DB,Notre Dame,"1991-1994 LA, 1995-2000 Stl, 2001-2002 Det"
Lyle Dewey,OG/OE,Minnesota,"1920-1922 RI, 1922-1923 GB"
Lyle Garry,DB,George Washington,1968-1974 Chi
Lyle Keith,DB,Virginia,"1994 LA, 1995-2000 Stl, 2001 Was, 2002 SD"
Lyle Rick,DE,Missouri,"1994 Cle, 1996 Bal, 1997-2001 NYJ, 2002-2003 NE"
Lyle Win,K,Auburn,NFLE: 1991 Bir
Lyles Chris,DB,Mississippi College,--
Lyles Jamel,RB,Manitoba,--
Lyles Lenny,DB/RB,Louisville,"1958 Bal, 1959-1960 SF, 1961-1969 Bal"
Lyles Lester,DB,Virginia,"1985-1987 NYJ, 1988 Pho, 1989-1990 SD"
Lyles Nate,DB,Virginia,--
Lyles Robert,LB,Texas Christian,"1984-1990 Hou, 1990-1991 Atl"
Lyman Chase,WR,California,--
Lyman Del,OT,UCLA,"1941 GB, 1941,1944 Cle"
Lyman Dustin,TE,Wake Forest,2000-2004 Chi
Lyman Jeff,LB,Brigham Young,"1972 Stl, 1972 Buf"
Lyman Link,OT,Nebraska,"1922-1923 Can, 1924 Cle, 1925 Can, 1925 Fra, 1926-1928,1930-1931,1933-1934 Chi"
Lymon Selwyn,WR,Purdue,--
Lyn Keon,DB,Syracuse,--
Lynch Aaron,LB,South Florida,"2014-2017 SF, 2018-2019 Chi, 2020 Jax"
Lynch Arthur,TE,Georgia,--
Lynch Ben,C,California,"1999-2002 SF, NFLE: 1998 Fra"
Lynch Blake,LB,Baylor,2020-2021 Min
Lynch Brandon,DB,Middle Tennessee State,--
Lynch Cameron,LB,Syracuse,"2015 Stl, 2016-2017 TB, 2017 LA, 2018 TB"
Lynch Carl,OG,Ohio Wesleyan,1921 Cin
Lynch Corey,DB,Appalachian State,"2008 Cin, 2009-2011 TB, 2012 SD, 2013 Ten, 2013 Ind"
Lynch D.J.,LB,Bowling Green,--
Lynch Dan,OG,Catawba,--
Lynch Dick,DB,Notre Dame,"1958 Was, 1959-1966 NYG"
Lynch Dylan,K,Jacksonville,--
Lynch Eddie,OE/OT,Catholic,"1925 Roc, 1926 Har, 1926 Det, 1927 Prov, 1929 Ora"
Lynch Eric,RB,Grand Valley State,"1992-1996 Det, NFLE: 1998 Sco"
Lynch Fran,RB,Hofstra,1967-1975 Den
Lynch James,RB,Maryland,2004 Cin
Lynch James,DT,Baylor,2020-2023 Min
Lynch Jim,LB,Notre Dame,1967-1977 KC
Lynch John,DB,Stanford,"1993-2003 TB, 2004-2007 Den"
Lynch Jordan,QB,Northern Illinois,--
Lynch Julan,WR,Saskatchewan,--
Lynch Lorenzo,DB,Sacramento State,"1987-1989 Chi, 1990-1993 Pho, 1994-1995 Ari, 1996-1997 Oak"
Lynch Lynn,OG,Illinois,1951 ChiC
Lynch Marshawn,RB,California,"2007-2010 Buf, 2010-2015 Sea, 2017-2018 Oak, 2019 Sea"
Lynch Paul,RB/BB,Ohio Northern,1925 Col
Lynch Paxton,QB,Memphis,"2016-2017 Den, 2019 Pit"
Lynch Shawn,C,Duke,"2005 Ari, NFLE: 2003 Bar, 2005 Ham"
Lynch Tom,OG,Boston College,"1977-1980 Sea, 1981-1984 Buf"
Lynn Anthony,RB,Texas Tech,"1993 Den, 1995-1996 SF, 1997-1999 Den"
Lynn Artayvious,TE,Texas Christian,--
Lynn D'Anton,DB,Penn State,--
Lynn Gabe,DB,Oklahoma,--
Lynn Jack,LB,Minnesota,--
Lynn Johnny,DB,UCLA,"1979,1981-1986 NYJ"
Lyon Billy,DT,Marshall,"1998-2002 GB, 2003 Min"
Lyon George,OT/OG,Kansas State,"1929 NYG, 1930 Port, 1931 Chi, 1931 Cle, 1932 Bkn, 1934 SL"
Lyon Nafees,DB,North Carolina-Charlotte,--
Lyons Brad,DL,Simon Fraser,--
Lyons Cameron,LS,North Carolina-Charlotte,2023 NYG
Lyons Caushaud,DT,Tusculum College,--
Lyons Dicky,DB,Kentucky,1970 NO
Lyons Dicky,WR,Kentucky,--
Lyons John,OE,Tulsa,1933 Bkn
Lyons Lamar,DB,Washington,"1996 Oak, 1997 Bal"
Lyons Marty,DT,Alabama,1979-1989 NYJ
Lyons Mitch,TE,Michigan State,"1993-1996 Atl, 1997-1999 Pit"
Lyons Pratt,DE,Troy State,1997-1998 Ten
Lyons Robert,DB,Akron,1989 Cle
Lyons Shelly,LB,Arizona State,--
Lyons Tommy,OG,Georgia,1971-1976 Den
Lyons Wes,WR,West Virginia,--
Lytle Dean,LB,Notre Dame,"NFLE: 1995 Lon, 1995 Fra"
Lytle Matt,QB,Pittsburgh,"2000 Sea, 2001 Car, NFLE: 2000 Rhe"
Lytle Rob,RB,Michigan,1977-1983 Den
Ma'afala Nick,DT,Hawaii,NFLE: 1995 Rhe
Maack Herb,OT,Columbia,--
Maag Garett,WR,North Dakota,2023 Min
Maarleveld J.D.,OT,Maryland,1986-1987 TB
Maas Bill,DT,Pittsburgh,"1984-1992 KC, 1993 GB"
Mabin Dylan,DB,Fordham,"2020 LV, 2020 Min, 2023 Ari"
Mabin Greg,DB,Iowa,"2017 Buf, 2017-2018 SF, 2019 Cin, 2020 Jax, 2021-2022 Ten, 2023 Car"
Mabin Jordan,DB,Northwestern,--
Mabon KeVonn,WR,Ball State,--
Mabra Ron,DB,Howard,"1975-1976 Atl, 1977 NYJ"
Mabry Ashaad,DL,Texas-San Antonio,--
Mabry Mike,C,Central Florida,NFLE: 2004-2005 Col
Mabry Tyler,TE,Maryland,2021-2023 Sea
MacAfee Ken,TE,Notre Dame,1978-1979 SF
MacAfee Ken,TE/OE,Alabama,"1954-1958 NYG, 1959 Phi, 1959 Was"
Macaulay John,C,Stanford,1984 SF
MacCollum Max,OE,Centre (KY),1922 Lou
MacDonald Allen,RB,--,1923-1924 Dul
MacDonald Buck,OG,Lehigh,"1920 Can, 1921 Ton, 1921 NYBG"
MacDonald Dan,LB,Idaho State,1987 Den
MacDonald Daniel,LS,Guelph (Canada),--
MacDonald Mark,OG,Boston College,"1985-1988 Min, 1988 Pho"
MacDonell Scott,WR,Queens (Canada),--
MacDonnell Mickey,RB/BB,--,"1925 Dul, 1925-1930 ChiC, 1931 Fra"
MacDowell Jay,OT/DE,Washington,1946-1951 Phi
Mace Corey,DE,Wyoming,2008-2009 Buf
Maceau Mel,C,Marquette,--
Macek Don,C,Boston College,1976-1989 SD
Macerelli John,OT/OG,St. Vincent,1956 Cle
MacGinnis Austin,K,Kentucky,--
Machado J.P.,OG,Illinois,1999-2003 NYJ
Machibroda Evan,DL,Saskatchewan,--
Machino Tomoya,OL,--,--
Machorro Jared,OT,Texas A&M-Commerce,--
Machurek Mike,QB,Idaho State,1984 Det
Maci Robert,DE,Purdue,--
Macik Miles,TE,Pennsylvania,NFLE: 1998 Sco
Macioszczyk Art,RB,Western Michigan,"1944,1947 Phi, 1948 Was"
Mack Alex,C,California,"2009-2015 Cle, 2016-2020 Atl, 2021 SF"
Mack Alizé,TE,Notre Dame,2023 Ten
Mack Austin,WR,Ohio State,2020 NYG
Mack Blake,TE,Arkansas State,--
Mack Branden,WR,Temple,--
Mack Cedric,DB,Baylor,"1983-1987 Stl, 1988-1990 Pho, 1991 SD, 1992 KC, 1992-1993 NO"
Mack Daylon,DT,Texas A&M,2019 Bal
Mack Destin,DB,Citadel,--
Mack Elbert,DB,Troy State,"2008-2011 TB, 2012 NO, 2013-2014 Hou"
Mack Gerald,DB,North Carolina Central,NFLE: 1991 R-D
Mack Isaiah,DT,Tennessee-Chattanooga,"2019-2020 Ten, 2020 NE, 2021-2022 Bal, 2022-2023 NYJ"
Mack Jordan,LB,Virginia,--
Mack Kendell,OG,Auburn,"NFLE: 2001 Sco, 2002 Fra"
Mack Kevin,RB,Clemson,1985-1993 Cle
Mack Khalil,LB,Buffalo,"2014-2017 Oak, 2018-2021 Chi, 2022-2023 LAC"
Mack Kim,DB,Florida State,1987 Sea
Mack III L.B.,DL,Rhode Island,--
Mack LeDarius,LB,Buffalo,2021 Chi
Mack Marlon,RB,South Florida,"2017-2021 Ind, 2022 SF, 2022 Den"
Mack Milton,DB,Alcorn State,"1987-1991 NO, 1992-1993 TB, 1994 Det"
Mack Red,WR,Notre Dame,"1961-1963 Pit, 1964 Phi, 1965 Pit, 1966 Atl, 1966 GB"
Mack Rico,LB,Appalachian State,"1993 Pit, NFLE: 1996,1998 Ams"
Mack Ryan,OT,Memphis,--
Mack Stacey,RB,Temple,"1999-2002 Jax, 2003 Hou"
Mack Taysir,WR,Pittsburgh,--
Mack Terence,LB,Clemson,1987 Stl
Mack Tom,OG,Michigan,1966-1978 LA
Mack Tremain,DB,Miami,1997-2000 Cin
Mackbee Earsell,DB,Utah State,1965-1969 Min
MacKellar Gregor,OL,St. Francis Xavier,--
Mackenroth Jack,C,North Dakota,1938 Det
MacKenzie Malaefou,RB,Southern California,2003 Jax
MacKenzie Tony,OG,Hastings,"NFLE: 1997 Lon, 1998 Eng"
Mackert Roy,OT,Maryland,1925 Roc
Mackey Dee,TE,Texas A&M-Commerce,"1960 SF, 1961-1962 Bal, 1963-1965 NYJ"
Mackey Jerry,LB,Syracuse,--
Mackey John,TE,Syracuse,"1963-1971 Bal, 1972 SD"
Mackey Kyle,QB,Texas A&M-Commerce,"1987 Mia, 1989 NYJ"
Mackey Leon,DE,Texas Tech,--
Mackey Louis,LB,Akron,2001-2002 Dal
Mackie David,RB,Western Ontario,--
Mackie Doug,OT,Ohio State,1987 Atl
Mackie Mark,DE,McMaster,--
MacKinnon Jacque,TE,Colgate,"1961-1969 SD, 1970 Oak"
Macklin David,DB,Penn State,"2000-2003 Ind, 2004-2006 Ari, 2007 Was, 2008 KC"
Macklin Isiah,TE,North Carolina Central,--
